id,dateadded,name,reviews_date,reviews_rating,reviews_username
AVpff7_VilAPnD_xc1E_,2016-02-03T04:11:33Z,Certified Refurbished Amazon Fire TV (Previous Generation - 1st),2014-04-03T00:00:00Z,,Gregory P. Baker
AVpff7_VilAPnD_xc1E_,2016-02-03T04:11:33Z,Certified Refurbished Amazon Fire TV (Previous Generation - 1st),2014-04-07T00:00:00Z,,Mandy
AVpff7_VilAPnD_xc1E_,2016-02-03T04:11:33Z,Certified Refurbished Amazon Fire TV (Previous Generation - 1st),2014-04-06T00:00:00Z,,Dallas
AVpff7_VilAPnD_xc1E_,2016-02-03T04:11:33Z,Certified Refurbished Amazon Fire TV (Previous Generation - 1st),2014-04-03T00:00:00Z,4,Gregory P. Baker
AVpff7_VilAPnD_xc1E_,2016-02-03T04:11:33Z,Certified Refurbished Amazon Fire TV (Previous Generation - 1st),2014-04-07T00:00:00Z,,Mandy
AVpff7_VilAPnD_xc1E_,2016-02-03T04:11:33Z,Certified Refurbished Amazon Fire TV (Previous Generation - 1st),,5,William Hardin
AVpff7_VilAPnD_xc1E_,2016-02-03T04:11:33Z,Certified Refurbished Amazon Fire TV (Previous Generation - 1st),2014-04-03T00:00:00Z,4,Gregory P. Baker
AVpff7_VilAPnD_xc1E_,2016-02-03T04:11:33Z,Certified Refurbished Amazon Fire TV (Previous Generation - 1st),2014-04-07T00:00:00Z,,Mandy
AVpfpzCi1cnluZ0-oxEr,2015-06-02T08:44:19Z,"Kindle Fire HDX 8.9""",,,"Things I Love Like,"
AVpfpzCi1cnluZ0-oxEr,2015-06-02T08:44:19Z,"Kindle Fire HDX 8.9""",,3,B. Tarbuck
AVpfpzCi1cnluZ0-oxEr,2015-06-02T08:44:19Z,"Kindle Fire HDX 8.9""",,5,"Things I Love Like,"
AVpfpzCi1cnluZ0-oxEr,2015-06-02T08:44:19Z,"Kindle Fire HDX 8.9""",,,B. Tarbuck
AVpfpzCi1cnluZ0-oxEr,2015-06-02T08:44:19Z,"Kindle Fire HDX 8.9""",2013-11-07T00:00:00Z,,Amazon Reviewer
AVpfpzCi1cnluZ0-oxEr,2015-06-02T08:44:19Z,"Kindle Fire HDX 8.9""",,3,B. Tarbuck
AVpfpzCi1cnluZ0-oxEr,2015-06-02T08:44:19Z,"Kindle Fire HDX 8.9""",,,"Things I Love Like,"
AVpfpzCi1cnluZ0-oxEr,2015-06-02T08:44:19Z,"Kindle Fire HDX 8.9""",,,B. Tarbuck
AVpfpzCi1cnluZ0-oxEr,2015-06-02T08:44:19Z,"Kindle Fire HDX 8.9""",,,B. Tarbuck
AVpfpzCi1cnluZ0-oxEr,2015-06-02T08:44:19Z,"Kindle Fire HDX 8.9""",,3,B. Tarbuck
AVpfpzCi1cnluZ0-oxEr,2015-06-02T08:44:19Z,"Kindle Fire HDX 8.9""",2013-11-07T00:00:00Z,4,Amazon Reviewer
AVpfpzCi1cnluZ0-oxEr,2015-06-02T08:44:19Z,"Kindle Fire HDX 8.9""",2013-11-07T00:00:00Z,,Amazon Reviewer
AVpfpzCi1cnluZ0-oxEr,2015-06-02T08:44:19Z,"Kindle Fire HDX 8.9""",,,B. Tarbuck
