,id,name,reviews_rating,reviews_username
103,30,18,5.0,88
104,30,18,5.0,332
105,30,18,5.0,110
106,3,4,2.0,608
107,3,4,3.0,189
108,3,4,5.0,239
109,3,4,5.0,51
110,3,4,5.0,447
111,3,4,4.0,894
112,3,4,5.0,732
113,24,41,5.0,337
114,24,41,5.0,443
115,24,41,5.0,261
116,24,41,5.0,512
117,7,20,2.0,608
118,7,20,3.0,189
119,7,20,5.0,447
120,7,20,5.0,51
121,7,20,5.0,732
122,7,20,5.0,229
123,7,20,1.0,336
124,7,20,4.0,176
125,7,20,5.0,239
126,7,20,5.0,372
127,7,20,3.0,129
128,5,29,4.0,359
129,5,29,5.0,199
130,5,29,5.0,113
131,9,27,4.0,359
132,9,27,5.0,199
133,9,27,5.0,113
134,48,33,5.0,443
135,48,33,5.0,640
136,48,33,4.0,512
137,48,33,5.0,640
138,48,33,5.0,535
139,48,33,5.0,512
140,10,26,4.0,359
141,10,26,5.0,199
142,10,26,5.0,113
143,11,57,5.0,64
144,11,57,5.0,197
145,11,57,5.0,327
146,45,56,5.0,64
147,45,56,5.0,197
148,45,56,5.0,327
149,29,39,5.0,323
150,29,39,3.0,263
151,29,39,5.0,529
152,29,39,5.0,457
153,31,15,5.0,156
154,31,15,5.0,828
155,31,15,4.0,147
156,31,15,5.0,9
157,31,15,3.0,761
158,31,15,5.0,88
159,31,15,5.0,332
160,31,15,5.0,110
161,49,45,4.0,138
162,49,45,1.0,583
163,49,45,3.0,907
164,27,39,5.0,323
165,27,39,3.0,263
166,27,39,5.0,529
167,27,39,5.0,457
168,0,38,4.0,600
169,0,38,4.0,552
170,0,38,5.0,598
171,0,38,3.0,552
172,0,38,3.0,552
173,0,38,5.0,864
174,0,38,5.0,652
175,19,32,5.0,653
176,19,32,3.0,830
177,19,32,5.0,37
178,19,32,5.0,272
179,19,32,3.0,654
180,19,32,3.0,285
181,19,32,3.0,841
182,19,32,5.0,265
183,13,34,4.0,206
184,13,34,5.0,25
185,13,34,5.0,70
186,13,34,5.0,37
187,13,34,1.0,346
188,13,34,4.0,671
189,13,34,1.0,171
190,15,58,5.0,327
191,40,30,5.0,489
192,40,30,5.0,168
193,40,30,5.0,772
194,40,30,5.0,772
195,40,30,5.0,772
196,40,30,4.0,168
197,40,30,5.0,298
198,40,30,5.0,772
199,40,30,5.0,489
200,40,30,5.0,772
201,40,30,5.0,168
202,40,30,5.0,168
203,40,30,5.0,489
204,40,30,5.0,489
205,40,30,5.0,489
206,40,30,5.0,489
207,40,30,5.0,298
208,40,30,5.0,772
209,40,30,4.0,168
210,40,30,5.0,168
211,40,30,5.0,772
212,40,30,5.0,772
213,40,30,5.0,298
214,40,30,4.0,168
215,40,30,5.0,489
216,40,30,5.0,772
217,40,30,5.0,298
218,40,30,5.0,772
219,40,30,5.0,298
220,40,30,5.0,772
221,2,14,5.0,156
222,2,14,5.0,828
